id,t,edsp,tnp,ed1,ed2,ed3,ed4,ed11,ed12,ed13,ed14,ed21,ed22,ed23,ed24,ed31,ed32,ed33,ed34,ed41,ed42,ed43,ed44
280202795,1407452675.26,0.00180216119831,0.00145549654105,(-0.247186179012+0j),(-0.0736806295292+0.051021675967j),(-0.127850887876-0.184411905819j),(0.791073461385-0.504694089993j),(0.000107172086068+0j),(6.49420458316e-06-1.27476098547e-05j),(1.8065843681e-05-3.74125380191e-05j),(-9.35704625471e-05+6.05858299187e-05j),(6.49420458316e-06+1.27476098547e-05j),(3.66371165994e-05+0j),(1.74226294148e-05+4.7033538448e-06j),(-4.58758473948e-05+8.36514666554e-05j),(1.8065843681e-05+3.74125380191e-05j),(1.74226294148e-05-4.7033538448e-06j),(0.000106113926731+0j),(-3.52263579537e-05+4.86514090881e-05j),(-9.35704625471e-05-6.05858299187e-05j),(-4.58758473948e-05-8.36514666554e-05j),(-3.52263579537e-05-4.86514090881e-05j),(0.00120557341165+0j)
280202796,1407452677.41,0.00133569799339,0.00137239711922,(-0.322079998897+0j),(-0.0982044759138+0.112829494365j),(-0.0900062651826-0.190034139757j),(0.389678180837-0.823302297918j),(9.36683755559e-05+0j),(1.55746463629e-05-1.5294177515e-05j),(8.81930114249e-06-3.34629928547e-05j),(-4.2034712897e-05+6.30218189946e-05j),(1.55746463629e-05+1.5294177515e-05j),(3.82014450012e-05+0j),(1.96486409214e-05-5.25171904414e-06j),(-3.62060080811e-05+9.77077847458e-05j),(8.81930114249e-06+3.34629928547e-05j),(1.96486409214e-05+5.25171904414e-06j),(0.000128623750201+0j),(-5.27052724484e-05+0.000121516245401j),(-4.2034712897e-05-6.30218189946e-05j),(-3.62060080811e-05-9.77077847458e-05j),(-5.27052724484e-05-0.000121516245401j),(0.00111190354846+0j)
280202729,1407452711.86,0.00172520984147,0.00150815595946,(-0.315982197005+0j),(-0.0775513958694+0.0727744371637j),(-0.0723970681095-0.228185453418j),(0.793182468849-0.449885038602j),(0.000112433562865+0j),(9.07013497312e-06-2.70684403294e-05j),(-1.03431155051e-06-4.02589917763e-05j),(-5.3859498435e-05+7.25326339343e-05j),(9.07013497312e-06+2.70684403294e-05j),(5.25889034554e-05+0j),(3.32870382545e-05-1.20967551989e-05j),(-4.77987697402e-05+0.00011465689811j),(-1.03431155051e-06+4.02589917763e-05j),(3.32870382545e-05+1.20967551989e-05j),(0.000117767421575+0j),(-5.67899466448e-05+9.25620776721e-05j),(-5.3859498435e-05-7.25326339343e-05j),(-4.77987697402e-05-0.00011465689811j),(-5.67899466448e-05-9.25620776721e-05j),(0.00122536607156+0j)
280202730,1407452714.02,0.00156957447771,0.00182661428568,(-0.255475458061+0j),(-0.0256436911247+0.0198710362936j),(-0.175494273455-0.308053706556j),(0.898657369136-0.0199859978479j),(0.00011690993958+0j),(5.6297424503e-06-3.09228803457e-05j),(1.73624531166e-05-4.41460633354e-05j),(-3.82153140664e-05+9.91561991286e-05j),(5.6297424503e-06+3.09228803457e-05j),(4.41953194591e-05+0j),(3.46804246014e-05+3.44567824698e-06j),(-7.00850250473e-05+0.000103127541461j),(1.73624531166e-05+4.41460633354e-05j),(3.46804246014e-05-3.44567824698e-06j),(0.000130146329183+0j),(-6.3557157815e-05+0.000136344430072j),(-3.82153140664e-05-9.91561991286e-05j),(-7.00850250473e-05-0.000103127541461j),(-6.3557157815e-05-0.000136344430072j),(0.00153536269746+0j)
280202731,1407452716.17,0.00179187125562,0.00156971473763,(-0.242927009536+0j),(-0.0829019392516+0.0354086787923j),(-0.105804984967-0.18996340608j),(0.68822923904-0.641809696101j),(9.5377252279e-05+0j),(8.31554183641e-06-2.36129175464e-05j),(1.34669929771e-05-3.28871197654e-05j),(-6.16849043319e-05+7.73979861856e-05j),(8.31554183641e-06+2.36129175464e-05j),(5.30245782039e-05+0j),(3.87096181181e-05-9.24298034038e-07j),(-4.43941762373e-05+0.000117785491359j),(1.34669929771e-05+3.28871197654e-05j),(3.87096181181e-05+9.24298034038e-07j),(0.000101859034157+0j),(-5.34404373269e-05+0.000130332907199j),(-6.16849043319e-05-7.73979861856e-05j),(-4.43941762373e-05-0.000117785491359j),(-5.34404373269e-05-0.000130332907199j),(0.00131945387299+0j)
280202732,1407452718.33,0.00147984641305,0.00133625148271,(-0.342405433223+0j),(-0.0768920456201+0.0998454487722j),(-0.142882527488-0.277238200232j),(0.760033014481-0.438121443835j),(0.000114936323242+0j),(9.56755202213e-06-3.36486652044e-05j),(1.4720987911e-05-4.54723711709e-05j),(-2.36324407934e-05+9.39023797899e-05j),(9.56755202213e-06+3.36486652044e-05j),(5.26454271718e-05+0j),(2.38210264661e-05+1.14832755646e-06j),(-3.46537395839e-05+8.31185345111e-05j),(1.4720987911e-05+4.54723711709e-05j),(2.38210264661e-05-1.14832755646e-06j),(0.000120062953515+0j),(-3.49258911262e-05+9.62633818131e-05j),(-2.36324407934e-05-9.39023797899e-05j),(-3.46537395839e-05-8.31185345111e-05j),(-3.49258911262e-05-9.62633818131e-05j),(0.00104860677879+0j)
280202733,1407452750.62,0.00145785312746,0.00145718248786,(-0.357746832347+0j),(-0.0744916704319+0.119884390568j),(-0.0627741379884-0.358573055281j),(0.747887805731-0.400305545235j),(0.000126851593754+0j),(1.38892558929e-05-2.76029992996e-05j),(3.71821671705e-06-3.01121555208e-05j),(-4.75534556934e-05+8.90118511796e-05j),(1.38892558929e-05+2.76029992996e-05j),(5.31502913477e-05+0j),(3.09103172973e-05-7.64599179084e-06j),(-5.82226480458e-05+0.000132238689494j),(3.71821671705e-06+3.01121555208e-05j),(3.09103172973e-05+7.64599179084e-06j),(9.62692843065e-05+0j),(-7.58692174433e-05+8.56897098636e-05j),(-4.75534556934e-05-8.90118511796e-05j),(-5.82226480458e-05-0.000132238689494j),(-7.58692174433e-05-8.56897098636e-05j),(0.00118091131845+0j)
280202734,1407452752.76,0.00132661404827,0.00140448466362,(-0.37298098937+0j),(-0.0736592724494+0.098557185485j),(-0.0628567183192-0.263352866086j),(0.807311308304-0.347402830603j),(0.000106312533536+0j),(5.72967124897e-06-2.78753882845e-05j),(1.57920979093e-05-5.18147639638e-05j),(-2.92389586523e-05+3.23390189158e-05j),(5.72967124897e-06+2.78753882845e-05j),(5.30251424307e-05+0j),(3.44607092484e-05-1.30521469015e-06j),(-3.43657094742e-05+0.000123717153309j),(1.57920979093e-05+5.18147639638e-05j),(3.44607092484e-05+1.30521469015e-06j),(0.000133664164773+0j),(-4.24398049202e-05+0.000102392771049j),(-2.92389586523e-05-3.23390189158e-05j),(-3.43657094742e-05-0.000123717153309j),(-4.24398049202e-05-0.000102392771049j),(0.00111148282288+0j)
280202735,1407452757.07,0.00167268627827,0.00115623059136,(-0.385640671046+0j),(-0.0930458503553+0.134157367105j),(-0.0632601203875-0.331464107975j),(0.696751037736-0.47465064745j),(0.000103228080943+0j),(-1.12022724513e-06-2.0686765181e-05j),(2.92188431094e-06-2.5997253049e-05j),(-5.49141486215e-06+1.44968993129e-05j),(-1.12022724513e-06+2.0686765181e-05j),(3.75154472284e-05+0j),(1.52107982481e-05-4.79604637757e-06j),(-2.6584926299e-05+7.39357533824e-05j),(2.92188431094e-06+2.5997253049e-05j),(1.52107982481e-05+4.79604637757e-06j),(8.80446867224e-05+0j),(-4.07703293182e-05+5.92231518078e-05j),(-5.49141486215e-06-1.44968993129e-05j),(-2.6584926299e-05-7.39357533824e-05j),(-4.07703293182e-05-5.92231518078e-05j),(0.000927442376465+0j)
280202736,1407452759.22,0.0016015901139,0.00134128153136,(-0.426285624013+0j),(-0.0713310115895+0.14713790553j),(-0.0453247737248-0.340589770463j),(0.59810699258-0.561920980985j),(9.68694508764e-05+0j),(1.78681968061e-06-1.76366302132e-05j),(8.21640665447e-06-2.88301133576e-05j),(-6.80261655646e-05+4.91938226552e-05j),(1.78681968061e-06+1.76366302132e-05j),(3.69934864638e-05+0j),(1.56011644182e-05+7.99169858371e-06j),(-7.69749706692e-05+7.84468456372e-05j),(8.21640665447e-06+2.88301133576e-05j),(1.56011644182e-05-7.99169858371e-06j),(9.18132701245e-05+0j),(-3.37994567809e-05+6.67265258879e-05j),(-6.80261655646e-05-4.91938226552e-05j),(-7.69749706692e-05-7.84468456372e-05j),(-3.37994567809e-05-6.67265258879e-05j),(0.00111560532389+0j)
