id,t,edsp,tnp,ed1,ed2,ed3,ed4,ed11,ed12,ed13,ed14,ed21,ed22,ed23,ed24,ed31,ed32,ed33,ed34,ed41,ed42,ed43,ed44
280201826,1407452428.08,0.000313527200341,0.000245611172395,(-0.25506786894+0j),(0.464227092977-0.256422046019j),(0.616838962247+0.491651398358j),(-0.0524757411731+0.169458597984j),(6.12701016952e-05+0j),(5.95243367511e-07-8.39045404717e-06j),(1.12053436163e-05+6.70096410869e-06j),(-2.32126332462e-06+3.16444526171e-07j),(5.95243367511e-07+8.39045404717e-06j),(7.50308895319e-05+0j),(-4.63004862899e-06-3.17801854724e-06j),(-1.39748359971e-06-2.35122202962e-06j),(1.12053436163e-05-6.70096410869e-06j),(-4.63004862899e-06+3.17801854724e-06j),(9.13655489049e-05+0j),(7.46795909704e-06+2.41430165662e-06j),(-2.32126332462e-06-3.16444526171e-07j),(-1.39748359971e-06+2.35122202962e-06j),(7.46795909704e-06-2.41430165662e-06j),(1.79446322629e-05+0j)
280201827,1407452430.25,0.000357940460627,0.00023855531524,(-0.311998308142+0j),(0.490909067088-0.0196927398098j),(0.352853569914+0.710454917867j),(-0.109544200164+0.141512457592j),(4.53725127974e-05+0j),(-7.66092579586e-06-3.54236507185e-06j),(-6.14940352864e-06-3.47344730115e-06j),(4.77466893121e-07-1.08530780578e-06j),(-7.66092579586e-06+3.54236507185e-06j),(7.80301727665e-05+0j),(-2.99464009966e-06-3.33622474413e-06j),(3.38517201221e-06-5.13844073075e-07j),(-6.14940352864e-06+3.47344730115e-06j),(-2.99464009966e-06+3.33622474413e-06j),(9.18124876901e-05+0j),(6.58501101505e-06+7.18408903865e-07j),(4.77466893121e-07+1.08530780578e-06j),(3.38517201221e-06+5.13844073075e-07j),(6.58501101505e-06-7.18408903865e-07j),(2.33401419862e-05+0j)
280201828,1407452432.39,0.00039229147337,0.000229029272081,(-0.317060589309+0j),(0.491824848841-0.251368415342j),(0.563450526204+0.483983638675j),(-0.0353529943511+0.203539500695j),(5.53916873373e-05+0j),(-7.52919374766e-06-6.51299891269e-06j),(1.19011375914e-05-5.26857845268e-06j),(-4.1573740493e-07+2.1748644778e-06j),(-7.52919374766e-06+6.51299891269e-06j),(7.51223291381e-05+0j),(-3.76466348621e-06+2.51645887167e-07j),(7.96529080081e-06-6.51170379673e-06j),(1.19011375914e-05+5.26857845268e-06j),(-3.76466348621e-06-2.51645887167e-07j),(7.81259394156e-05+0j),(2.14037638876e-06+6.55477256922e-06j),(-4.1573740493e-07-2.1748644778e-06j),(7.96529080081e-06+6.51170379673e-06j),(2.14037638876e-06-6.55477256922e-06j),(2.03893161895e-05+0j)
280201829,1407452434.52,0.000373793440723,0.000253207419829,(-0.305930905531+0j),(0.444740516882-0.238574347537j),(0.601167585664+0.495039043554j),(-0.0548111536033+0.205484917029j),(6.23390622974e-05+0j),(-5.99486285602e-06-8.02753024698e-06j),(1.05280454721e-05-4.84089405355e-06j),(-4.0479480307e-06+3.21140962352e-06j),(-5.99486285602e-06+8.02753024698e-06j),(8.07799599352e-05+0j),(5.907703908e-06-2.36240608704e-07j),(1.21879224393e-06-2.44530023959e-06j),(1.05280454721e-05+4.84089405355e-06j),(5.907703908e-06+2.36240608704e-07j),(8.73019352883e-05+0j),(4.9365089332e-07+1.58384701288e-06j),(-4.0479480307e-06-3.21140962352e-06j),(1.21879224393e-06+2.44530023959e-06j),(4.9365089332e-07-1.58384701288e-06j),(2.27864623076e-05+0j)
280201778,1407452468.88,0.000457927636841,0.000236363551038,(-0.238718692675+0j),(0.40980514866-0.264743236087j),(0.664977684929+0.480522588744j),(-0.0249609106099+0.176815774299j),(4.57301279846e-05+0j),(-5.92645806996e-06-1.67938602237e-06j),(2.86014405556e-06+1.83264129242e-06j),(-2.55231052036e-06-2.46175469694e-06j),(-5.92645806996e-06+1.67938602237e-06j),(6.99970585247e-05+0j),(8.97763388867e-06+1.79101595523e-06j),(1.45453192663e-06-2.10029066314e-06j),(2.86014405556e-06-1.83264129242e-06j),(8.97763388867e-06-1.79101595523e-06j),(9.43477817907e-05+0j),(5.80196481818e-06+2.85308735402e-06j),(-2.55231052036e-06+2.46175469694e-06j),(1.45453192663e-06+2.10029066314e-06j),(5.80196481818e-06-2.85308735402e-06j),(2.62885827379e-05+0j)
280201779,1407452471.02,0.000526891614305,0.000253317066861,(-0.295274129434+0j),(0.509613827094-0.193446943993j),(0.567131293703+0.490547357884j),(-0.0568443928638+0.224007401569j),(6.68030489074e-05+0j),(-2.68591107929e-07-3.7767252076e-06j),(8.04504874513e-06-2.41077093515e-06j),(-2.00984218894e-06+3.74816436462e-06j),(-2.68591107929e-07+3.7767252076e-06j),(7.66245557024e-05+0j),(-1.76910322645e-06-4.51395920366e-06j),(7.36985393825e-07-4.06557388861e-06j),(8.04504874513e-06+2.41077093515e-06j),(-1.76910322645e-06+4.51395920366e-06j),(8.62232502053e-05+0j),(7.35967936578e-06+1.93749932198e-06j),(-2.00984218894e-06-3.74816436462e-06j),(7.36985393825e-07+4.06557388861e-06j),(7.35967936578e-06-1.93749932198e-06j),(2.36662120454e-05+0j)
280201780,1407452473.2,0.000481456307655,0.00024751399369,(-0.290744634451+0j),(0.420569033477-0.260692226983j),(0.637422199955+0.470268311648j),(-0.046363093512+0.202533765168j),(6.08834920396e-05+0j),(-5.96613857068e-06-1.42334587837e-06j),(1.25259286674e-05-1.1957620559e-06j),(-1.24463415093e-06+5.57431066838e-07j),(-5.96613857068e-06+1.42334587837e-06j),(8.38573958444e-05+0j),(1.08892164546e-05+3.76763947579e-06j),(-8.91835260666e-07-1.38535858995e-06j),(1.25259286674e-05+1.1957620559e-06j),(1.08892164546e-05-3.76763947579e-06j),(8.02130018084e-05+0j),(1.24068750711e-06+6.32942758573e-06j),(-1.24463415093e-06-5.57431066838e-07j),(-8.91835260666e-07+1.38535858995e-06j),(1.24068750711e-06-6.32942758573e-06j),(2.25601039979e-05+0j)
280201781,1407452475.32,0.000484561715082,0.00026684232718,(-0.273028928884+0j),(0.397977318604-0.28454623341j),(0.706791328889+0.36617204742j),(-0.0252888790921+0.227655925932j),(6.8867614165e-05+0j),(5.58295359759e-06-5.78150315289e-06j),(4.19635576799e-08-3.92410605916e-06j),(-7.95400676027e-06+1.92925067933e-06j),(5.58295359759e-06+5.78150315289e-06j),(8.59241320205e-05+0j),(-4.14300054113e-06+3.46003486419e-06j),(-2.47228689309e-06-4.03272457387e-06j),(4.19635576799e-08+3.92410605916e-06j),(-4.14300054113e-06-3.46003486419e-06j),(8.54600714586e-05+0j),(5.71069428141e-06+6.55978704279e-06j),(-7.95400676027e-06-1.92925067933e-06j),(-2.47228689309e-06+4.03272457387e-06j),(5.71069428141e-06-6.55978704279e-06j),(2.65905095362e-05+0j)
280201782,1407452507.56,0.00047644716391,0.00025656026863,(-0.284162978372+0j),(0.538269801929-0.173066053791j),(0.521025515065+0.533514268853j),(-0.0811989654141+0.192007366201j),(6.39794514962e-05+0j),(-2.59970549757e-06-4.65256374683e-06j),(7.87988597817e-06-4.16894342902e-06j),(-5.82636459531e-06-2.83419402297e-06j),(-2.59970549757e-06+4.65256374683e-06j),(8.26510261846e-05+0j),(-3.414425152e-07-2.29691928422e-07j),(9.15284421888e-06-2.9088085236e-06j),(7.87988597817e-06+4.16894342902e-06j),(-3.414425152e-07+2.29691928422e-07j),(7.88633598543e-05+0j),(5.77231297783e-06+4.78181133842e-06j),(-5.82636459531e-06+2.83419402297e-06j),(9.15284421888e-06+2.9088085236e-06j),(5.77231297783e-06-4.78181133842e-06j),(3.1066431095e-05+0j)
280201783,1407452509.69,0.000494342427129,0.000228331171689,(-0.285976228664+0j),(0.518918901515-0.198259048598j),(0.462886294944+0.580599709315j),(-0.103378038873+0.218145264707j),(5.66008534891e-05+0j),(-1.83108396344e-06-1.84985499924e-07j),(-5.22796089845e-06+1.04778725582e-07j),(7.02242519243e-06-2.77419643847e-07j),(-1.83108396344e-06+1.84985499924e-07j),(6.64158746887e-05+0j),(-1.42693390287e-06+6.05401502139e-06j),(2.52549943673e-06+6.01905265086e-07j),(-5.22796089845e-06-1.04778725582e-07j),(-1.42693390287e-06-6.05401502139e-06j),(8.33555558415e-05+0j),(6.37088016568e-06-2.15272163213e-07j),(7.02242519243e-06+2.77419643847e-07j),(2.52549943673e-06-6.01905265086e-07j),(6.37088016568e-06+2.15272163213e-07j),(2.19588876696e-05+0j)
