id,t,edsp,tnp,ed1,ed2,ed3,ed4,ed11,ed12,ed13,ed14,ed21,ed22,ed23,ed24,ed31,ed32,ed33,ed34,ed41,ed42,ed43,ed44
280178628,1407452428.08,0.00398401606256,0.000338474885721,(-0.187897068029+0j),(-0.528629565383-0.713922426229j),(-0.0588173630385-0.141416392469j),(0.351164376968-0.169663625599j),(5.4860669458e-05+0j),(1.91810036653e-05+3.72099308122e-06j),(2.22962733654e-07-1.24696040338e-06j),(-1.05567059484e-05-1.54715351269e-05j),(1.91810036653e-05-3.72099308122e-06j),(0.000124907799791+0j),(1.12690620628e-06+1.04171429993e-07j),(1.35850358894e-05-1.58295061247e-05j),(2.22962733654e-07+1.24696040338e-06j),(1.12690620628e-06-1.04171429993e-07j),(2.07390545606e-05+0j),(1.71355407822e-06+2.81910921663e-06j),(-1.05567059484e-05+1.54715351269e-05j),(1.35850358894e-05+1.58295061247e-05j),(1.71355407822e-06-2.81910921663e-06j),(0.000137967361911+0j)
280178629,1407452430.23,0.00376256803777,0.000358834910662,(-0.195241167543+0j),(-0.517024978385-0.722851978875j),(-0.0590336863515-0.138842147847j),(0.355158998649-0.152154666028j),(5.38999127385e-05+0j),(1.15398982111e-05+1.60327785579e-05j),(-1.05566325045e-06+3.84817962147e-06j),(-9.36276164043e-06-6.30807022453e-06j),(1.15398982111e-05-1.60327785579e-05j),(0.000149757801335+0j),(-7.90981052092e-07-4.03813068936e-06j),(2.49247331336e-06+3.08542508736e-06j),(-1.05566325045e-06-3.84817962147e-06j),(-7.90981052092e-07+4.03813068936e-06j),(2.15593077193e-05+0j),(2.02449346615e-06+5.85076713284e-06j),(-9.36276164043e-06+6.30807022453e-06j),(2.49247331336e-06-3.08542508736e-06j),(2.02449346615e-06-5.85076713284e-06j),(0.000133617888869+0j)
280178630,1407452432.37,0.00401800687518,0.000360055456798,(-0.180228697994+0j),(-0.494117598627-0.739555632634j),(-0.0551686440443-0.139954717828j),(0.370095846223-0.129695966265j),(5.12954206716e-05+0j),(1.97727976877e-05+2.46254699235e-06j),(-1.49596789009e-06-2.34221616901e-06j),(7.72994154104e-06-2.0719387963e-05j),(1.97727976877e-05-2.46254699235e-06j),(0.000156821096695+0j),(3.6494301293e-06+2.59270234889e-06j),(2.74064463146e-05-1.7600647478e-05j),(-1.49596789009e-06+2.34221616901e-06j),(3.6494301293e-06-2.59270234889e-06j),(2.0121789021e-05+0j),(5.89968701303e-06+2.00989744143e-06j),(7.72994154104e-06+2.0719387963e-05j),(2.74064463146e-05+1.7600647478e-05j),(5.89968701303e-06-2.00989744143e-06j),(0.00013181715041+0j)
280178631,1407452434.52,0.00375457830793,0.000368927132367,(-0.179776853883+0j),(-0.507964189717-0.742383979233j),(-0.0514888822717-0.134048121019j),(0.345720120199-0.135559163815j),(5.28970995191e-05+0j),(1.82509518842e-05+8.05297907379e-06j),(2.35226657077e-06-6.69445987832e-06j),(-3.8994865213e-06-1.05598853313e-05j),(1.82509518842e-05-8.05297907379e-06j),(0.000159678570607+0j),(6.48278425029e-06-2.71491404677e-06j),(3.97519164196e-06+1.10621430413e-05j),(2.35226657077e-06+6.69445987832e-06j),(6.48278425029e-06+2.71491404677e-06j),(2.1150871033e-05+0j),(1.38993001369e-06+2.24975560077e-06j),(-3.8994865213e-06+1.05598853313e-05j),(3.97519164196e-06-1.10621430413e-05j),(1.38993001369e-06-2.24975560077e-06j),(0.000135200591207+0j)
280195429,1407452468.88,0.00486787012322,0.000365300703126,(-0.180944657826+0j),(-0.620817422001-0.640167975393j),(-0.0867733953107-0.130726963019j),(0.307182119141-0.230325220747j),(5.65487029583e-05+0j),(-2.735171541e-06+7.89591716596e-06j),(-3.75787704025e-07-7.61767853835e-07j),(4.21088741672e-06-5.1110036299e-06j),(-2.735171541e-06-7.89591716596e-06j),(0.000148206956615+0j),(4.2089048023e-06-3.69295531875e-06j),(2.67003913883e-05-1.76753559869e-05j),(-3.75787704025e-07+7.61767853835e-07j),(4.2089048023e-06+3.69295531875e-06j),(2.03123573485e-05+0j),(3.9334908621e-06-8.39940180003e-07j),(4.21088741672e-06+5.1110036299e-06j),(2.67003913883e-05+1.76753559869e-05j),(3.9334908621e-06+8.39940180003e-07j),(0.000140232686204+0j)
280195430,1407452471.03,0.00504005967159,0.000373518619871,(-0.182007218991+0j),(-0.592549545221-0.658420853122j),(-0.0791115545475-0.127823688401j),(0.329361360824-0.226194494815j),(4.61796105743e-05+0j),(1.48601004509e-05+1.15388074355e-05j),(-1.78140336545e-06+9.89867152721e-07j),(-1.16898998057e-05-2.11974209915e-05j),(1.48601004509e-05-1.15388074355e-05j),(0.000139135677265+0j),(-4.65585034647e-07+2.9561840994e-06j),(1.30811579321e-05-1.6487481218e-05j),(-1.78140336545e-06-9.89867152721e-07j),(-4.65585034647e-07-2.9561840994e-06j),(2.47608681555e-05+0j),(-5.54629985745e-07+8.31196117029e-06j),(-1.16898998057e-05+2.11974209915e-05j),(1.30811579321e-05+1.6487481218e-05j),(-5.54629985745e-07-8.31196117029e-06j),(0.000163442463877+0j)
280195431,1407452473.17,0.00490619491139,0.000359799056805,(-0.177213394722+0j),(-0.66060530703-0.61450346607j),(-0.0832269105491-0.128941413242j),(0.286460695443-0.221289842788j),(4.39879503747e-05+0j),(2.6434842591e-06+4.63774271239e-06j),(4.56091262365e-07-3.01959144852e-06j),(8.5629409582e-06-8.07114257082e-06j),(2.6434842591e-06-4.63774271239e-06j),(0.000155439097558+0j),(-6.60202381145e-06+1.29788127111e-05j),(-4.58444671855e-06-2.94549441088e-05j),(4.56091262365e-07+3.01959144852e-06j),(-6.60202381145e-06-1.29788127111e-05j),(2.30095325353e-05+0j),(4.23814480925e-06+3.74946536838e-06j),(8.5629409582e-06+8.07114257082e-06j),(-4.58444671855e-06+2.94549441088e-05j),(4.23814480925e-06-3.74946536838e-06j),(0.000137362476337+0j)
280195432,1407452475.32,0.00488398895926,0.000346570037733,(-0.182767752035+0j),(-0.517528451871-0.724409227703j),(-0.0655177725895-0.13946773951j),(0.342625459805-0.181260824623j),(4.8655814412e-05+0j),(1.03468332444e-05+3.08986628595e-06j),(7.53375300401e-07-6.47777608546e-07j),(-3.25018860636e-06-2.10383629212e-05j),(1.03468332444e-05-3.08986628595e-06j),(0.000141545972275+0j),(4.17898896563e-06+6.4678034097e-06j),(2.33607548787e-05-8.49270233964e-06j),(7.53375300401e-07+6.47777608546e-07j),(4.17898896563e-06-6.4678034097e-06j),(2.30301229941e-05+0j),(7.62696769433e-06-8.98744301645e-07j),(-3.25018860636e-06+2.10383629212e-05j),(2.33607548787e-05+8.49270233964e-06j),(7.62696769433e-06+8.98744301645e-07j),(0.000133338128052+0j)
280195433,1407452507.53,0.00501043492331,0.000354337443029,(-0.193689947943+0j),(-0.548717114262-0.711470735726j),(-0.0553162266802-0.139277753671j),(0.313347671544-0.185898316087j),(4.85028713724e-05+0j),(1.08298563733e-05+9.51961999572e-06j),(-1.87892428962e-06-1.66928721565e-06j),(-1.8943559228e-06-5.29252536955e-06j),(1.08298563733e-05-9.51961999572e-06j),(0.000150168413256+0j),(7.65054517263e-06+1.36594118804e-06j),(-6.80768398108e-06+1.69524057144e-06j),(-1.87892428962e-06+1.66928721565e-06j),(7.65054517263e-06-1.36594118804e-06j),(2.37237752577e-05+0j),(2.3465436254e-06+3.61485650546e-06j),(-1.8943559228e-06+5.29252536955e-06j),(-6.80768398108e-06-1.69524057144e-06j),(2.3465436254e-06-3.61485650546e-06j),(0.000131942383142+0j)
280195434,1407452509.69,0.00527649125591,0.000373004711231,(-0.198527046857+0j),(-0.585061204761-0.678492500575j),(-0.0593648250249-0.134384937022j),(0.31777250937-0.188083661049j),(6.52317353036e-05+0j),(6.95059992656e-06+8.13532992078e-06j),(1.95863426576e-06+9.9544662188e-07j),(2.32255371317e-06-5.99804142375e-06j),(6.95059992656e-06-8.13532992078e-06j),(0.000152053684323+0j),(9.08935773201e-06-5.44955897303e-06j),(-1.89719853133e-06-1.83533564013e-05j),(1.95863426576e-06-9.9544662188e-07j),(9.08935773201e-06+5.44955897303e-06j),(2.51025627569e-05+0j),(5.68803231102e-06+4.60142651975e-06j),(2.32255371317e-06+5.99804142375e-06j),(-1.89719853133e-06+1.83533564013e-05j),(5.68803231102e-06-4.60142651975e-06j),(0.000130616728848+0j)
