id,t,edsp,tnp,ed1,ed2,ed3,ed4,ed11,ed12,ed13,ed14,ed21,ed22,ed23,ed24,ed31,ed32,ed33,ed34,ed41,ed42,ed43,ed44
280177237,1407452428.08,0.000877225369614,0.00108032497665,(-0.370028475791+0j),(-0.297812121488-1.25532066556e-06j),(0.508164597633+0.492850826389j),(0.512528794756-0.102800323855j),(0.000387071492713+0j),(0.000111520780915-6.02377518483e-05j),(0.000216064897409-0.000115495586144j),(0.000130840331514-0.000215496355082j),(0.000111520780915+6.02377518483e-05j),(0.000109201893187+0j),(9.58014896028e-05+8.07776836357e-06j),(8.74898528363e-05-5.54180359637e-05j),(0.000216064897409+0.000115495586144j),(9.58014896028e-05-8.07776836357e-06j),(0.000287509487561+0j),(0.000155363329904-9.78630385189e-05j),(0.000130840331514+0.000215496355082j),(8.74898528363e-05+5.54180359637e-05j),(0.000155363329904+9.78630385189e-05j),(0.000296542103192+0j)
280177238,1407452430.23,0.000943051808225,0.000981408420864,(-0.164413469382+0j),(-0.134873374374+0.170556446011j),(0.469613288903-0.444864493844j),(-0.225657386188-0.675518739753j),(0.000375493395786+0j),(8.85374485355e-05-5.16687593882e-05j),(0.000170786610333-0.000106568965626j),(0.000111526097513-0.000198497671356j),(8.85374485355e-05+5.16687593882e-05j),(9.36130925657e-05+0j),(7.31262448664e-05+1.24554625294e-06j),(8.28995931207e-05-3.2676435961e-05j),(0.000170786610333+0.000106568965626j),(7.31262448664e-05-1.24554625294e-06j),(0.000238874494014+0j),(0.000135545726204-8.18894439146e-05j),(0.000111526097513+0.000198497671356j),(8.28995931207e-05+3.2676435961e-05j),(0.000135545726204+8.18894439146e-05j),(0.000273427438499+0j)
280177239,1407452432.39,0.0008975108474,0.00118778144309,(-0.270812574731+0j),(-0.221017506157-0.0334897568226j),(0.40847951823+0.596233751197j),(0.595109145716-0.0136069589993j),(0.000483078326093+0j),(0.000134712198194-7.877959187e-05j),(0.000239949607919-0.000160382617043j),(0.00016574356304-0.000264270656574j),(0.000134712198194+7.877959187e-05j),(0.000118524187961+0j),(0.000111512878373-1.0868165503e-05j),(9.23690539343e-05-4.80597626919e-05j),(0.000239949607919+0.000160382617043j),(0.000111512878373+1.0868165503e-05j),(0.000256249563379+0j),(0.000191567408682-8.05770627448e-05j),(0.00016574356304+0.000264270656574j),(9.23690539343e-05+4.80597626919e-05j),(0.000191567408682+8.05770627448e-05j),(0.000329929365655+0j)
280177240,1407452434.52,0.000884931050691,0.001121019574,(-0.367547277822+0j),(0.0100529579779+0.141158357319j),(-0.478288457808-0.337415946106j),(-0.678590259535+0.20442148827j),(0.000431719390028+0j),(9.81907410039e-05-5.9164797706e-05j),(0.000219714140685-0.000132488278588j),(0.000167269263604-0.000240263768937j),(9.81907410039e-05+5.9164797706e-05j),(8.23597498215e-05+0j),(8.40661720861e-05+6.10700469752e-06j),(8.24367179809e-05-3.6176272968e-05j),(0.000219714140685+0.000132488278588j),(8.40661720861e-05-6.10700469752e-06j),(0.000272211537975+0j),(0.000179596181438-7.76223486073e-05j),(0.000167269263604+0.000240263768937j),(8.24367179809e-05+3.6176272968e-05j),(0.000179596181438+7.76223486073e-05j),(0.000334728896177+0j)
280193809,1407452468.88,0.000840622544019,0.000945972165046,(-0.619790060518+0j),(-0.21993997321+0.0468950088753j),(-0.393335654853+0.376110582776j),(-0.101715764774+0.50869376107j),(0.000347188962356+0j),(6.93048106916e-05-4.79071621404e-05j),(0.000169808246246-0.000105532338203j),(0.000110926724647-0.000201185404206j),(6.93048106916e-05+4.79071621404e-05j),(7.66759030649e-05+0j),(6.92759906032e-05-2.58894573261e-06j),(6.20133653993e-05-4.49317629198e-05j),(0.000169808246246+0.000105532338203j),(6.92759906032e-05+2.58894573261e-06j),(0.000244287449562+0j),(0.000143463229392-7.38348903744e-05j),(0.000110926724647+0.000201185404206j),(6.20133653993e-05+4.49317629198e-05j),(0.000143463229392+7.38348903744e-05j),(0.000277819850064+0j)
280193810,1407452471.02,0.000776045280481,0.0010779641035,(-0.51548862013+0j),(-0.173057940536+0.0356195672516j),(-0.266242923319+0.483671298254j),(0.160081910498+0.610413172468j),(0.000414243306649+0j),(0.0001207121354-5.69787580043e-05j),(0.000195792566034-0.000146479071128j),(0.000112072103339-0.000250920911723j),(0.0001207121354+5.69787580043e-05j),(9.26442909861e-05+0j),(9.21628204761e-05-1.95338582828e-05j),(8.31818988408e-05-8.20812829046e-05j),(0.000195792566034+0.000146479071128j),(9.21628204761e-05+1.95338582828e-05j),(0.000251191321705+0j),(0.000157825965098-0.000107091667437j),(0.000112072103339+0.000250920911723j),(8.31818988408e-05+8.20812829046e-05j),(0.000157825965098+0.000107091667437j),(0.000319885184159+0j)
280193811,1407452473.17,0.00108476056341,0.00102103368632,(-0.385962783559+0j),(-0.103068616208-0.0232859207143j),(-0.250597779595+0.629316398106j),(0.251957815369+0.563512412613j),(0.000366033938195+0j),(8.19030108159e-05-5.9950323108e-05j),(0.000174451715025-8.87588072417e-05j),(0.000101636402334-0.000200765727538j),(8.19030108159e-05+5.9950323108e-05j),(8.73914844164e-05+0j),(5.95465281258e-05+1.78701042554e-06j),(8.20958257569e-05-4.33404680017e-05j),(0.000174451715025+8.87588072417e-05j),(5.95465281258e-05-1.78701042554e-06j),(0.000245027379624+0j),(0.00012147160453-0.000106427096698j),(0.000101636402334+0.000200765727538j),(8.20958257569e-05+4.33404680017e-05j),(0.00012147160453+0.000106427096698j),(0.000322580884084+0j)
280193812,1407452475.32,0.000798958496977,0.00111436449978,(-0.528600287262+0j),(-0.239648662432+0.0153412280901j),(0.226946001247+0.623241315144j),(0.436153481972+0.180971869088j),(0.00036002923026+0j),(0.000113438764447-8.65143057993e-05j),(0.000162988849665-0.000146877485144j),(0.000119344217717-0.000233532585575j),(0.000113438764447+8.65143057993e-05j),(0.000146217465829+0j),(0.000113230878292-7.31786202595e-06j),(0.000123394741126-7.23276785186e-05j),(0.000162988849665+0.000146877485144j),(0.000113230878292+7.31786202595e-06j),(0.000272747263946+0j),(0.000190172691592-8.63669922306e-05j),(0.000119344217717+0.000233532585575j),(0.000123394741126+7.23276785186e-05j),(0.000190172691592+8.63669922306e-05j),(0.000335370539744+0j)
280193813,1407452509.69,0.00102532767407,0.00109017910443,(-0.39393286177+0j),(-0.0445459261514+0.0208565902916j),(-0.505939579501+0.371829509239j),(-0.124845424638+0.657707489255j),(0.000357924655769+0j),(0.000104959934095-7.65029373486e-05j),(0.000175820884494-0.000124108393059j),(0.000111512568665-0.000246034626883j),(0.000104959934095+7.65029373486e-05j),(0.000107152027759+0j),(9.89113907427e-05-9.22765368638e-06j),(9.6285402973e-05-6.8435233117e-05j),(0.000175820884494+0.000124108393059j),(9.89113907427e-05+9.22765368638e-06j),(0.000252308943907+0j),(0.000171504683283-0.000100885365295j),(0.000111512568665+0.000246034626883j),(9.6285402973e-05+6.8435233117e-05j),(0.000171504683283+0.000100885365295j),(0.000372793476992+0j)
280193814,1407452513.98,0.000928539014183,0.000957705019951,(-0.518840395496+0j),(-0.254124232971+0.0155500926457j),(0.27146111851+0.585057156289j),(0.470701309874+0.168644521797j),(0.000236947213482+0j),(9.11955816093e-05-4.55822640233e-05j),(0.000173260528955-6.59163055933e-05j),(9.60423984875e-05-0.000181124005257j),(9.11955816093e-05+4.55822640233e-05j),(9.57133631593e-05+0j),(0.000105958879848+5.07591211782e-06j),(9.65631061329e-05-7.20952140178e-05j),(0.000173260528955+6.59163055933e-05j),(0.000105958879848-5.07591211782e-06j),(0.000295551156655+0j),(0.00016922796464-0.000135096116813j),(9.60423984875e-05+0.000181124005257j),(9.65631061329e-05+7.20952140178e-05j),(0.00016922796464+0.000135096116813j),(0.000329493286654+0j)
280193724,1407452548.35,0.000927883141899,0.00115782311545,(-0.588876074022+0j),(-0.251957894375+0.0429309416449j),(-0.187070495119+0.54589642478j),(0.15833486353+0.479406839141j),(0.000500713902976+0j),(0.000112249202607-6.0516269003e-05j),(0.000222549283746-0.000121504933436j),(0.000175297155086-0.000269526901196j),(0.000112249202607+6.0516269003e-05j),(8.6197933152e-05+0j),(8.2377023741e-05-7.36520585409e-06j),(8.25278005351e-05-5.07785169719e-05j),(0.000222549283746+0.000121504933436j),(8.2377023741e-05+7.36520585409e-06j),(0.000232294725937+0j),(0.000165753459395-9.37307845132e-05j),(0.000175297155086+0.000269526901196j),(8.25278005351e-05+5.07785169719e-05j),(0.000165753459395+9.37307845132e-05j),(0.000338616553388+0j)
280193725,1407452550.51,0.00120021019347,0.00113144413194,(-0.507046976433+0j),(-0.727195713372+0.202783366512j),(0.156150287591+0.336070595473j),(0.188689947688-0.006197628106j),(0.000296983619129+0j),(8.3347381909e-05-5.87589414534e-05j),(0.000158894014999-8.02279446611e-05j),(8.24308413207e-05-0.00020055840405j),(8.3347381909e-05+5.87589414534e-05j),(0.0003469159559+0j),(7.33095348542e-05+2.29056839607e-05j),(6.7152928435e-05-1.25932309416e-05j),(0.000158894014999+8.02279446611e-05j),(7.33095348542e-05-2.29056839607e-05j),(0.000208403235263+0j),(0.000119247879335-9.02348806801e-05j),(8.24308413207e-05+0.00020055840405j),(6.7152928435e-05+1.25932309416e-05j),(0.000119247879335+9.02348806801e-05j),(0.000279141321654+0j)
280193726,1407452552.67,0.00101004950564,0.00100951133815,(-0.575124741474+0j),(-0.226450796769+0.0181381855352j),(-0.0984399877494+0.61629081355j),(0.245274003018+0.409827329496j),(0.000432661800562+0j),(0.000107890854995-5.14690469603e-05j),(0.000156637213661-0.000122755725926j),(0.000165129959539-0.000225064741321j),(0.000107890854995+5.14690469603e-05j),(8.88794610544e-05+0j),(7.00314506312e-05-1.62578139174e-05j),(8.94048559094e-05-4.06500320631e-05j),(0.000156637213661+0.000122755725926j),(7.00314506312e-05+1.62578139174e-05j),(0.000189952588801+0j),(0.000140855241375-5.13384663564e-05j),(0.000165129959539+0.000225064741321j),(8.94048559094e-05+4.06500320631e-05j),(0.000140855241375+5.13384663564e-05j),(0.000298017487728+0j)
280193552,1407452589.19,0.00110118252341,0.00109789912404,(-0.311194801039+0j),(-0.130790697651+0.0245986908484j),(-0.0895359213735+0.660928904262j),(0.410316372423+0.521769365178j),(0.000398413606935+0j),(0.000120617259731-7.62261869585e-05j),(0.000210179926005-0.000112705383987j),(0.000115642951637-0.000260657571027j),(0.000120617259731+7.62261869585e-05j),(0.000126218886338+0j),(9.47988654646e-05+3.56268270193e-06j),(0.000103043070197-6.80752577007e-05j),(0.000210179926005+0.000112705383987j),(9.47988654646e-05-3.56268270193e-06j),(0.000235495300139+0j),(0.000153006717907-0.000124981555311j),(0.000115642951637+0.000260657571027j),(0.000103043070197+6.80752577007e-05j),(0.000153006717907+0.000124981555311j),(0.000337771330629+0j)
280193553,1407452591.34,0.000856260682646,0.000918934194536,(-0.172445086047+0j),(-0.063281189319+0.044320119117j),(0.0752079636063+0.681799870615j),(0.571433604856+0.408962399614j),(0.000234308903332+0j),(7.95048165144e-05-6.83001333355e-05j),(0.000142402205029-8.03144437756e-05j),(8.0019042237e-05-0.000190680725876j),(7.95048165144e-05+6.83001333355e-05j),(0.000121285127361+0j),(0.0001001228511+2.21104881568e-05j),(0.000111471093797-6.71835538239e-05j),(0.000142402205029+8.03144437756e-05j),(0.0001001228511-2.21104881568e-05j),(0.000233728461909+0j),(0.000146837457732-0.000119378188555j),(8.0019042237e-05+0.000190680725876j),(0.000111471093797+6.71835538239e-05j),(0.000146837457732+0.000119378188555j),(0.000329611701934+0j)
280193554,1407452593.48,0.000915655061809,0.000829222915124,(-0.101216336784+0j),(-0.0539968522969-0.0506445063768j),(-0.21266193143+0.66709243443j),(0.37817094201+0.592472828532j),(0.000281292280792+0j),(7.68406358305e-05-5.1625263067e-05j),(0.00011649458809-0.000118564093751j),(8.2620823601e-05-0.000186082159329j),(7.68406358305e-05+5.1625263067e-05j),(8.14183178255e-05+0j),(7.4678835561e-05-1.42915024268e-05j),(6.95430015563e-05-5.64444248299e-05j),(0.00011649458809+0.000118564093751j),(7.4678835561e-05+1.42915024268e-05j),(0.000216627051841+0j),(0.000135393018754-6.32570377542e-05j),(8.2620823601e-05+0.000186082159329j),(6.95430015563e-05+5.64444248299e-05j),(0.000135393018754+6.32570377542e-05j),(0.000249885264666+0j)
280193555,1407452630.02,0.00358549146389,0.00101865244258,(-0.420441262298+0j),(-0.28501120608+0.21503330993j),(0.488705727255-0.205753324039j),(-0.121189078718-0.63237957113j),(0.00036496445455+0j),(9.90421419676e-05-6.63766007659e-05j),(0.000171854609569-0.000122415430834j),(0.000107431971927-0.000225424201558j),(9.90421419676e-05+6.63766007659e-05j),(0.000103559651247+0j),(9.01568374877e-05-1.20696532874e-06j),(8.50921897905e-05-5.93320662893e-05j),(0.000171854609569+0.000122415430834j),(9.01568374877e-05+1.20696532874e-06j),(0.000247290855201+0j),(0.000166209358648-7.52937567312e-05j),(0.000107431971927+0.000225424201558j),(8.50921897905e-05+5.93320662893e-05j),(0.000166209358648+7.52937567312e-05j),(0.000302837481583+0j)
280209040,1407453804.58,0.000910122814803,0.00112995865253,(-0.573604995618+0j),(-0.203362210072+0.0265423974186j),(-0.265251635241+0.619727989551j),(0.043757968777+0.415428273946j),(0.000440638863802+0j),(9.3494486614e-05-6.38570476746e-05j),(0.000209960565071-0.000121609949931j),(0.000159950709972-0.00025768551039j),(9.3494486614e-05+6.38570476746e-05j),(8.74169539079e-05+0j),(7.85937833555e-05-3.10474577813e-06j),(7.38703239554e-05-5.03476009377e-05j),(0.000209960565071+0.000121609949931j),(7.85937833555e-05+3.10474577813e-06j),(0.000256742264886+0j),(0.000177140747288-9.97668657861e-05j),(0.000159950709972+0.00025768551039j),(7.38703239554e-05+5.03476009377e-05j),(0.000177140747288+9.97668657861e-05j),(0.000345160569935+0j)
280208813,1407453843.5,0.0016408907329,0.00113055941703,(-0.401585020403+0j),(-0.237153903324+0.222422316092j),(0.53408333855-0.195700772133j),(-0.298650076938-0.565932979817j),(0.000414620205377+0j),(0.000131627644489-5.14117095043e-05j),(0.00022796648796-6.03786496536e-05j),(0.000205518395645-0.000181460448968j),(0.000131627644489+5.14117095043e-05j),(0.000109440255873+0j),(8.84498846389e-05+5.88524612895e-06j),(0.000114641850988-4.38461864889e-05j),(0.00022796648796+6.03786496536e-05j),(8.84498846389e-05-5.88524612895e-06j),(0.000252509352888+0j),(0.000170991190916-9.77720130054e-05j),(0.000205518395645+0.000181460448968j),(0.000114641850988+4.38461864889e-05j),(0.000170991190916+9.77720130054e-05j),(0.000353989602889+0j)
280208814,1407453845.66,0.0015427565875,0.00122539072115,(-0.366236529595+0j),(-0.212049367808+0.264981689683j),(0.442922753422-0.328697932236j),(-0.40112508549-0.53438407889j),(0.00052062448496+0j),(0.000150466111995-6.70206854379e-05j),(0.000263231853437-0.000117032019466j),(0.000174076606893-0.000260837350387j),(0.000150466111995+6.70206854379e-05j),(0.000112029874587+0j),(0.000107421114007+4.89838804689e-06j),(9.58917620074e-05-6.73157017374e-05j),(0.000263231853437+0.000117032019466j),(0.000107421114007-4.89838804689e-06j),(0.000287032495479+0j),(0.000175922453572-0.000102906550062j),(0.000174076606893+0.000260837350387j),(9.58917620074e-05+6.73157017374e-05j),(0.000175922453572+0.000102906550062j),(0.000305703866121+0j)
